title;desc;url;ingredients;steps;tools
Aperol Grapefruit;De Aperol Grapefruit is gemaakt met de welbekende Aperol, de Italiaanse aperitief met een bittere, lichtzoete sinaasappelsmaak. Met dit drankje in je hand waan je je even in een zonnig land! Door zijn frisse smaak erg lekker in de zomer, maar proef hem vooral even voor in de winter!;https://cocktailrecepten.com/recept/aperol-grapefruit;['50 ml Aperol', '65 ml Bruisend water', '0.5 stuk Grapefruit', '65 ml Prosecco'];['Halveer de grapefruit. Snijd 1 schijf af en halveer deze.', 'Pak een wit wijnglas en doe hier een paar ijsblokjes in.', 'Gebruik de andere helft van de grapefruit om uit te persen. Reken 1,5 eetlepel grapefruitsap per glas en doe erin.', 'Schenk de Aperol, de prosecco en het bruisend water erbij.', 'Doe per glas de 2 halve plakjes grapefruit erin. Roer een keer door en serveer direct.'];['Wit Wijnglas', 'Barmaatje', 'Barlepel', 'Citruspers']
Aperol Sour;De Aperol Sour is een lekkere sour cocktail gemaakt met Aperol. Aperol is een Italiaanse aperitief met een bittere, lichtzoete sinaasappelsmaak die je vaak terugziet in de welbekende Aperol Spritz cocktail. Maar ook in deze cocktail smaakt hij erg lekker!;https://cocktailrecepten.com/recept/aperol-sour;['60 ml Aperol', '22.5 ml Citroensap', '22.5 ml Suikersiroop', '1 stuk Eiwit'];['Pak een cocktailshaker en voeg de Aperol, het citroensap, de suikersiroop en het eiwit van 1 ei toe. Let op: doe er nog geen ijs bij!', 'Shake! (zonder ijs)', 'Voeg na de eerste keer shaken wat ijsblokjes toe en shake opnieuw.', 'Pak een martiniglas en schenk de cocktail door een strainer erin. Garneer met een sinaasappelzest.'];['Martini glas', 'Shaker', 'Barmaatje', 'Strainer', 'Zesteur']
Aperol Spritz;De Aperol Spritz, wie kent dit populaire drankje tegenwoordig niet! Vooral in de zomer doet deze cocktail het erg goed! Naast Aperol maken we dit drankje met prosecco en bruisend water en garneren we hem met een schijfje sinaasappel.;https://cocktailrecepten.com/recept/aperol-spritz;['60 ml Aperol', '1 scheutje Bruisend water', '90 ml Prosecco'];['Vul een wijnglas met wat ijsblokjes.', 'Voeg de Prosecco, Aperol en het bruisend water toe.', 'Roer even door met een lepel of rietje.', 'Garneer met een half schijfje sinaasappel in het glas.'];['Rode Wijnglas', 'Barmaatje', 'Barlepel']
Apple Daiquiri;De Apple Daiquiri is een frisse maar sterke cocktail. Wij hebben hem gemaakt met Granny Smith en deze eerst voorgesneden en ingevroren. Hierdoor is de cocktail lekker koud en kun je er extra lang van genieten!;https://cocktailrecepten.com/recept/apple-daiquiri;['30 ml Limoensap', '15 ml Suikersiroop', '70 ml Witte rum', '125 gr Granny smith'];['Pak een blender, of mengkom met handmixer, en doe hier het (diepvries) fruit in.', 'Voeg ook de andere ingrediënten toe en mix tot het een geheel is geworden.', 'Pak een martini glas en schenk de cocktail erin.'];['Martini glas', 'Barmaatje', 'Staafmixer', 'Blender', 'Mengkom']
Apple Frazzle;De Apple Frazzle is een alcoholvrije cocktail met een lekkere appelsmaak. Door de toevoeging van het sodawater is ie ook nog een beetje bruisend! Je maakt hem met appelsap, citroensap, suikersiroop en sodawater. Lekker verfrissend voor wat warmer weer!;https://cocktailrecepten.com/recept/apple-frazzle;['50 ml Appelsap', '110 ml Bruisend water', '10 ml Citroensap', '10 ml Suikersiroop'];['Pak een longdrinkglas en doe hier wat ijsblokjes in.', 'Voeg de appelsap, het citroensap en de suikersiroop toe.', 'Roer even door en top af met het bruisend water. Garneer met een stukje appel.'];['Longdrinkglas', 'Barmaatje', 'Barlepel']
Apple Gin;Eigenlijk verklapt de naam van deze cocktail al wat het is. Het is namelijk een heerlijke cocktail van appelsap met gin! Daarnaast voegen we ook nog limoen en peper toe wat zorgt voor een bijzonder lekkere smaak!;https://cocktailrecepten.com/recept/apple-gin;['300 ml Appelsap', '45 ml Gin', '3 partje Limoen', '5 gr Zwarte peper'];['Pak een gin-tonic glas en doe hier wat ijsblokjes in.', 'Voeg ook de partjes limoen en de zwarte peperkorrels toe.', 'Schenk de gin en het appelsap erbij. Roer een keer door en geniet!'];['Ballon glas', 'Barmaatje', 'Barlepel']
Apple Martini;De Apple Martini, ook wel Appletini genoemd, is een cocktail die je het hele jaar door kan drinken. Er zijn vele variaties om hem te maken maar deze is gemaakt met vodka, apfelkorn, appelsap en citroensap. Maak deze lekkere zoet-zure cocktail zelf thuis en maak hem af met een schijfje Granny Smith.;https://cocktailrecepten.com/recept/apple-martini;['30 ml Apfelkorn', '45 ml Appelsap', '7.5 ml Citroensap', '45 ml Vodka'];['Pak een cocktail shaker en doe hier wat ijsblokjes in.', 'Voeg de Apfelkorn, vodka, het appelsap en citroensap toe. Shake!', 'Pak een martini glas en schenk de cocktail door een cocktail strainer erin.', 'Garneer met een schijfje Granny Smith.'];['Margarita glas', 'Shaker', 'Barmaatje', 'Strainer']
Apricot Daiquiri;Deze lekkere daiquiri hebben we gemaakt met abrikozen. Wel hebben we ze na het snijden eerst ingevroren zodat je cocktail daarna lekker slushy is! Maak hem gemakkelijk in een blender en schenk hem daarna in een martini glas!;https://cocktailrecepten.com/recept/apricot-daiquiri;['70 ml Witte rum', '30 ml Limoensap', '15 ml Suikersiroop', '125 gr Abrikozen'];['Pak een blender, of staafmixer met mengkom, en voeg de bevroren abrikoos toe.', 'Voeg ook de andere ingrediënten toe en mix tot het een geheel is geworden.', 'Pak een martini glas en schenk de cocktail erin.'];['Martini glas', 'Barmaatje', 'Staafmixer', 'Blender', 'Mengkom']
Apricot Sour;De Apricot Sour is een lekkere sour cocktail die we maken met Apricot brandy. Dit is een sterke likeur met een duidelijk volle abrikozen smaak en is ambergoud van kleur. Daarnaast wordt deze cocktail gemaakt met citroensap en suikersiroop en garneren we hem met een schijfje citroen.;https://cocktailrecepten.com/recept/apricot-sour;['100 ml Apricot brandy', '60 ml Citroensap', '30 ml Suikersiroop'];['Pak een tumbler glas en doe hier wat ijsblokjes in.', 'Schenk eerst de Apricot brandy in.', 'Schenk vervolgens het citroensap en de suikersiroop erbij.', 'Roer even door en garneer met een schijfje citroen.'];['Tumbler glas', 'Barmaatje', 'Barlepel']
Bahama Mama;De Bahama Mama is een heerlijke cocktail met tropische smaken. Hij is dan ook erg lekker om op een zomerse dag te drinken en waan je dan even in een zonnig land op het strand! De meeste cocktails maken we in een cocktail shaker, maar die heb je voor deze cocktail niet nodig!;https://cocktailrecepten.com/recept/bahama-mama;['60 ml Ananassap', '20 ml Donkere rum', '1 scheutje Grenadine', '15 ml Limoensap', '40 ml Malibu', '40 ml Rum', '60 ml Sinaasappelsap'];['Pak een hurricane glas en doe er wat ijsblokjes in.', 'Voeg de witte en donkere rum, Malibu, het ananassap, sinaasappelsap en limoensap toe. Voor het lekkerste resultaat gebruik je verse sappen!', 'Schenk als laatste een scheutje grenadine erbij.', 'Garneer met een stuk ananas.'];['Hurricane glas', 'Barmaatje', 'Citruspers']
Bahia;De Bahia is een tropische cocktail die lekker is om in de zomer te drinken. Deze tropische smaak komt vooral door de kokosmelk en het ananassap. Daarnaast voegen we nog (witte) rum toe en je bent klaar om te genieten!;https://cocktailrecepten.com/recept/bahia;['90 ml Ananassap', '15 ml Kokosmelk', '75 ml Witte rum'];['Pak een cocktailshaker en doe hier wat ijsblokjes in.', 'Voeg de witte rum, ananas- of mangosap en de kokosmelk toe en schud goed door elkaar.', 'Schenk de cocktail in een longdrink- of ballonglas.'];['Longdrinkglas', 'Ballon glas', 'Shaker', 'Barmaatje', 'Strainer']
Baileys Iced Coffee;De naam van deze cocktail zegt al wat het is, een koude koffie met de toevoeging van Baileys. Want je kan je Baileys naast je koffie drinken, maar het is misschien nog wel lekkerder om het samen te voegen! Probeer hem zelf uit en kies je favoriet!;https://cocktailrecepten.com/recept/baileys-iced-coffee;['45 ml Baileys', '150 ml Koffie'];['Zet per cocktail een kopje koffie en laat deze afkoelen.', 'Vul een laag glas met een paar ijsblokjes.', 'Voeg aan het glas eerst de Baileys toe en vervolgens de afgekoelde koffie.'];['Tumbler glas', 'Barmaatje']
Baileys Martini;Een martini met Baileys, dat kan alleen maar lekker zijn! Baileys is van oorsprong een Ierse likeur met als belangrijkste ingrediënten whiskey en room. Hij heeft een zachte smaak en je kunt hem op verschillende manieren drinken. Naast Baileys maken we deze cocktail met vodka en espresso.;https://cocktailrecepten.com/recept/baileys-martini;['35 ml Baileys Irish cream', '25 ml Espresso', '35 ml Vodka'];['Pak een cocktailshaker en doe hier wat ijsblokjes in.', 'Schenk de Baileys, vodka en espresso erbij en shake goed!', 'Schenk de cocktail door een cocktail strainer in een martiniglas.'];['Martini glas', 'Shaker', 'Barmaatje', 'Strainer']
Baileys Shake;Een milkshake gemaakt met Baileys, do we need to say more?;https://cocktailrecepten.com/recept/baileys-shake;['45 ml Baileys Irish cream', '30 ml Kahlúa', '2 bol Vanille ijs', '30 ml Vodka'];['Doe de Baileys, vodka, Kahlúa en het vanille ijs in een blender en mix goed door elkaar!', 'Schenk de cocktail in een tumbler. Garneer met een rietje en serveer direct.', 'Lekker met een stukje pure chocolade ernaast! En wil je hem helemaal af maken? Doe er dan een toefje slagroom op!'];['Mason jar', 'Barmaatje', 'Blender', 'IJsschep']
Blow Job;De naam van deze cocktail is er waarschijnlijk niet een waarbij je direct denkt aan een alcoholhoudend drankje! Maar toch is het de naam van deze mini cocktail die we maken met Baileys en Kahlúa.;https://cocktailrecepten.com/recept/blow-job;['22.5 ml Baileys Irish cream', '22.5 ml Kahlúa'];['Voor deze cocktail hebben we een shot glaasje nodig.', 'Schenk hier de Kahlúa in en pak een barlepel of theelepeltje.', 'Schenk de Baileys via de achterkant van de lepel op de Kahlúa. Door het zo in te schenken blijven de lagen mooi op elkaar liggen!'];['Shotglas', 'Barmaatje', 'Barlepel']
Blue Bandana Shot;Dit shotje is een simpel maar lekker whiskey shotje. Door zijn blauwe kleur is het een perfect drankje om op een zomerse dag (het liefst naar het zwembad) te drinken! In de Blue Bandana Shot mixen we Jack Daniels whiskey met Sprite, citroensap en blue curaçao.;https://cocktailrecepten.com/recept/blue-bandana-shot;['10 ml Blue curaçao', '5 ml Citroensap', '10 ml Sprite', '10 ml Jack Daniels'];['Pak een cocktailshaker en doe hier wat ijsblokjes in.', 'Voeg alle ingrediënten toe en shake!', 'Pak een shotglas en schenk de cocktail door een strainer in een shotglas. Cheers!'];['Shotglas', 'Shaker', 'Barmaatje', 'Strainer']
Blue Elephant;De Blue Elephant, een tropische blauwe cocktail. Maar olifanten zijn toch helemaal niet blauw? Nee dat klopt, maar deze cocktail wel! Waarom de olifant is verwerkt in zijn naam, daar kan je vele leuke verklaringen voor verzinnen maar 'blue' is wel duidelijk!;https://cocktailrecepten.com/recept/blue-elephant;['30 ml Ananassap', '15 ml Blue curaçao', '30 ml Citroensap', '30 ml Vodka'];['Pak een cocktailshaker en doe hier ijsblokjes in.', 'Voeg de vodka, Blue Curaçao, het citroensap en het ananassap toe. Shake!', 'Pak een tumbler en doe hier wat ijsblokjes in.', 'Schenk de cocktail door een strainer in het glas. Garneer met een partje ananas.'];['Tumbler glas', 'Shaker', 'Barmaatje', 'Strainer', 'Citruspers']
Blue Hawaiian;De Blue Hawaiian is een tropische cocktail en eigenlijk een beetje de blauwe versie van een Piña Colada! Je maakt deze cocktail met rum, ananassap, Malibu, kokosmelk en uiteraard Blue Curaçao voor zijn mooie kleur!;https://cocktailrecepten.com/recept/blue-hawaiian;['60 ml Ananassap', '30 ml Blue curaçao', '20 ml Kokosmelk', '30 ml Lichte rum', '30 ml Malibu'];['Pak een cocktailshaker en doe hier wat ijsblokjes in.', 'Voeg de lichte rum, Malibu, Blue Curaçao, kokosmelk en het ananassap toe. Shake!', 'Pak een hurricane glas en schenk de cocktail door een strainer erin.', 'Garneer met een stukje ananas.'];['Hurricane glas', 'Shaker', 'Barmaatje', 'Strainer']
Blue Hawaiian Shot;De Blue Hawaiian is een tropische cocktail en hebben we ook op deze site staan. Alleen nu hebben we er een shotje van gemaakt! Het enige verschil is dat we in dit shotje de Malibu hebben vervangen door Peachtree.;https://cocktailrecepten.com/recept/blue-hawaiian-shot;['10 ml Ananassap', '10 ml Blue curaçao', '10 ml Kokosmelk', '10 ml Peachtree', '10 ml Witte rum'];['Pak een cocktailshaker en doe hier ijsblokjes in.', 'Voeg alle ingrediënten toe en shake!', 'Pak een shotglas en schenk de cocktail door een strainer erin.'];['Shotglas', 'Shaker', 'Barmaatje', 'Strainer']
Blue Lagoon;Vooral in de zomer is de Blue Lagoon een populair drankje om te drinken. Zou het komen door zijn mooie blauwe kleur? De cocktail is een mix van blue curaçao, vodka, sprite en citroensap en komt oorspronkelijk uit Jamaica. Daar is hij vernoemd naar een meer met deze aparte blauwe kleur en gelijke naam.;https://cocktailrecepten.com/recept/blue-lagoon;['15 ml Blue curaçao', '1 stuk Citroen', '90 ml Sprite', '30 ml Vodka'];['Pak een hurricane glas.', 'Pers het sap van een halve citroen uit in het glas en voeg ook de vodka en Blue Curaçao toe. Gebruik je geen vers citroensap? Reken dan op 25 ml per persoon.', 'Vul het glas met crushed ice tot iets onder de rand en top af met de Sprite.', 'Roer met een lange lepel (barlepel) en garneer met een schijfje citroen.'];['Hurricane glas', 'Barmaatje', 'Barlepel', 'Ice Crusher', 'Citruspers']
Blue Lagoon Fishbowl;De welbekende Blue Lagoon cocktail, maar dan als fishbowl! Onderstaande ingrediënten zijn voor het maken van 1 bowl!;https://cocktailrecepten.com/recept/blue-lagoon-fishbowl;['125 ml Blue curaçao', '0.25 stuk Citroen', '125 ml Citroensap', '600 ml Sprite', '200 ml Vodka'];['Pak een fishbowl en doe hier ijsblokjes en de plakjes citroen in.', 'Voeg de Blue Curaçao, vodka en het citroensap toe.', 'Schenk vervolgens de Sprite erbij, roer een keer, steek er een paar rietjes in en geniet!'];['Fishbowl', 'Barmaatje', 'Barlepel']
Blue Sgroppino;Blue Sgroppino, een mooi blauw bevroren drankje wat je zo weg drinkt! Heel gevaarlijk, maar wel erg lekker!;https://cocktailrecepten.com/recept/blue-sgroppino;['50 ml Blue curaçao', '2 bol Citroensorbetijs'];['Pak een kom en leg de mixer alvast klaar.', 'Doe het ijs en en de Blue Curaçao erin en mix goed door elkaar met de staafmixer. Zorg ervoor dat het een mooi geheel wordt.', 'Pak een flûte en schenk de cocktail erin. Drink direct!'];['Champagneglas', 'Barmaatje', 'Staafmixer', 'IJsschep', 'Mengkom']
Blue Temptation;Blue Temptation, mooie cocktailnaam voor een mooie cocktail! Met zijn blauwgroene kleur is dit een heerlijke, sterke maar toch ook zoete cocktail!;https://cocktailrecepten.com/recept/blue-temptation;['20 ml Blue curaçao', '10 ml Crème de bananes', '20 ml Vodka', '10 ml Pisang Ambon'];['Pak een cocktailshaker en doe hier ijsblokjes in.', 'Voeg de vodka, creme de bananes, Blue Curaçao en Pisang Ambon toe. Shake!', 'Pak een martiniglas en schenk de cocktail door een strainer in het glas.'];['Martini glas', 'Shaker', 'Barmaatje', 'Strainer']
Blueberry Daiquiri;De Blueberry Daiquiri, een lekker fruitige en wat dikkere cocktail. Omdat je hem maakt met diepvries fruit is ie lekker koud en daarom heerlijk voor op een warme dag!;https://cocktailrecepten.com/recept/blueberry-daiquiri;['30 ml Limoensap', '15 ml Suikersiroop', '70 ml Witte rum', '125 gr Diepvries blauwe bessen'];['Pak en blender en doe hier het diepvries fruit in.', 'Voeg ook de andere ingrediënten toe en mix tot het één geheel is.', 'Pak een martini glas en schenk hier de cocktail in.'];['Martini glas', 'Barmaatje', 'Blender']
Blueberry Lemonade;De Blueberry Lemonade is een zoete cocktail die je het beste maakt met verse blauwe bessen. We maken hem in een shaker waarin we licht de blauwe bessen 'muddlen', oftewel, een klein beetje prakken. Hierdoor komt de smaak goed vrij. Daarnaast maken we hem met witte rum, citroensap, suikersiroop en Sprite.;https://cocktailrecepten.com/recept/blueberry-lemonade;['10 stuk Blauwe bessen', '45 ml Citroensap', '120 ml Sprite', '20 ml Suikersiroop', '60 ml Witte rum'];['Pak een cocktailshaker en doe hier de blauwe bessen. Plet ze een beetje.', 'Voeg de rum, het (verse) citroensap en de suikersiroop toe. Shake!', 'Pak een longdrinkglas en schenk de cocktail door een strainer erin.', 'Top af met de Sprite en garneer met blauwe bessen.'];['Longdrinkglas', 'Shaker', 'Barmaatje', 'Strainer', 'Muddler', 'Citruspers']
Blueberry Mojito;De Blueberry Mojito is een variatie op de originele Mojito. Wat er anders is aan dit recept? We hebben er blueberry likeur aan toegevoegd! En als je hem helemaal blueberry-achtig wilt maken, garneer je hem daar natuurlijk ook mee!;https://cocktailrecepten.com/recept/blueberry-mojito;['15 ml Blueberry likeur', '100 ml Bruisend water', '15 ml Limoensap', '10 ml Suikersiroop', '30 ml Witte rum'];['Pak een tumbler of een wat kleiner longdrinkglas en doe hier een paar ijsblokjes in.', 'Voeg de rum, de blueberry likeur, de suikersiroop en het limoensap toe.', 'Top het glas af met het bruisend water.', 'Roer even door en garneer eventueel met een paar blauwe bessen ernaast.'];['Tumbler glas', 'Barmaatje', 'Barlepel', 'Citruspers']
Blushin' Russian;De naam doet het al een beetje vermoeden, maar deze cocktail laat je blozen! Erg lekker in de winter. Zin in een zwoele avond? Begin met deze cocktail!;https://cocktailrecepten.com/recept/blushin-russian;['20 ml Kahlúa', '20 ml Melk', '20 ml Vloeibare slagroom', '20 ml Vodka', '20 ml Disaronno'];['Pak een cocktailshaker en doe hier ijsblokjes in.', 'Voeg alle ingrediënten toe. Shake!', 'Pak een martiniglas en schenk de cocktail door een strainer in het glas.'];['Martini glas', 'Shaker', 'Barmaatje', 'Strainer']
BMW Shot;Waarom dit shotje deze naam heeft? Simpel, het zijn de eerste letters van de ingrediënten waar we hem mee maken. We mixen namelijk Baileys, Malibu en Whiskey met elkaar: BMW.;https://cocktailrecepten.com/recept/bmw-shot;['15 ml Baileys', '15 ml Malibu', '15 ml Whiskey'];['Pak een cocktailshaker en doe hier wat ijsblokjes in.', 'Voeg alle ingrediënten toe en shake!', 'Pak een shotglas en schenk de cocktail door een strainer erin. Cheers!'];['Shotglas', 'Shaker', 'Barmaatje', 'Strainer']
Boswandeling Colada;Take a walk in the park met de Boswandeling Colada! Een heerlijk romige cocktail met banaan kokos smaak!;https://cocktailrecepten.com/recept/boswandeling-colada;['40 ml Ananassap', '40 ml Boswandeling', '40 ml Kokosmelk', '40 ml Malibu', '1 el Gecondenseerde melk'];['Pak een cocktailshaker en doe hier wat ijsblokjes in.', 'Voeg de Boswandeling, Malibu, kokosmelk, gecondenseerde melk en het ananassap toe. Shake!', 'Pak een wit wijnglas en doe hier wat ijsblokjes in.', 'Schenk de cocktail door een strainer in het glas. Garneer met een blaadje ananas.'];['Wit Wijnglas', 'Shaker', 'Barmaatje', 'Strainer']
Boswandeling Froyo;De Boswandeling Froyo, een heerlijk drankje om op een zomerse dag te drinken! Je maakt hem met bolletjes ijs en is daarom ook lekker verkoelend! We maken deze cocktail in een blender of met een mixer.;https://cocktailrecepten.com/recept/boswandeling-froyo;['60 ml Boswandeling', '2 bol Yoghurt ijs', '100 ml Halfvolle melk'];['Pak een blender en doe de Boswandeling, melk en de bollen ijs erin.', 'Mix tot het een geheel is geworden.', 'Pak een mason jar en schenk je cocktail erin.', 'Voeg eventueel nog wat ijsblokjes toe en drink direct!'];['Mason jar', 'Barmaatje', 'Blender', 'IJsschep']
Boswandeling Mix;Dit shotje maken we met de 2 verschillende soorten Boswandeling: de originele en de pink. Apart van elkaar smaken ze erg lekker maar samen in een shotje ook! Daarnaast heb je alleen nog een glaasje nodig, schenk je het in en drink je hem op!;https://cocktailrecepten.com/recept/boswandeling-mix;['20 ml Boswandeling', '20 ml Boswandeling pink'];['Pak een shotglas en schenk hier eerst de ene Boswandeling in, en daarna de ander.', 'Tip;
Boswandeling Nougat Shot;De Boswandeling Nougat Shot, een hele lange naam voor eigenlijk maar een klein drankje! Door de toevoeging van Frangelico aan de Boswandeling hebben we nougat toegevoegd aan de naam. Probeer hem zelf!;https://cocktailrecepten.com/recept/boswandeling-nougat-shot;['20 ml Boswandeling', '20 ml Frangelico'];['Pak een shotglaasje.', 'Schenk eerst de Frangelico in, daarna de Boswandeling. Cheers!'];['Shotglas', 'Barmaatje']
Boswandeling Oreo Shake;Een shake, met Boswandeling én Oreo? Dat kan toch alleen maar heel erg lekker zijn! En dat klopt, dat is ie ook! Deze shake is een pure traktatie waar je elke zoetekauw blij mee maakt! Zet hem op tafel na het diner of drink hem lekker als tussendoortje.;https://cocktailrecepten.com/recept/boswandeling-oreo-shake;['60 ml Boswandeling', '2 bol Vanille ijs', '3 stuk Oreo', '100 ml Halfvolle melk'];['Pak een blender en doe hier alle ingrediënten in.', 'Blend tot het één geheel is!', 'Pak een mason jar en schenk hier je shake in.', 'Garneer met een Oreo koekje, en eventueel slagroom als je daarvan houdt!'];['Mason jar', 'Barmaatje', 'Blender', 'IJsschep']
